Year,Name,Number of visitors (all days combined)
1993,Diáksziget '93,43000
1994,Diáksziget '94 - Eurowoodstock,143000
1995,Diáksziget '95,173000
1996,Pepsi Sziget 1996,206000
1997,Pepsi Sziget 1997,260000
1998,Pepsi Sziget 1998,268000
1999,Pepsi Sziget 1999,297000
2000,Pepsi Sziget 2000,324000
2001,Pepsi Sziget 2001,365000
2002,Sziget 2002,355000
2003,Sziget 2003,361000
2004,Sziget 2004,369000
2005,Sziget 2005,385000
2006,Sziget 2006,385000
2007,Sziget Festival 2007,371000
2008,Sziget Festival 2008,385000
2009,Sziget Festival 2009,390000
2010,Sziget Festival 2010,382000
2011,Sziget Festival 2011,385000
2012,Sziget Festival 2012,379000
2013,Sziget Festival 2013,362000
2014,Sziget Festival 2014,415000
2015,Sziget Festival 2015,441000
2016,Sziget Festival 2016,496000
2017,Sziget Festival 2017,452000
